route_type;case;origin_destination;departure_time;player;itinerary;leg;duration_leg;modal;line;fare;itinerary_duration
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;7;0;WALK;;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;8;1620;SUBWAY;METRÔ L5;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;3;9;139;WALK;;748;6929
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;1;165;WALK;;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;2;1055;BUS;2705-10;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;3;108;WALK;;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;4;2470;SUBWAY;METRÔ L3;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;5;325;WALK;;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;6;3135;BUS;6505-10;748;7878
LS;3;"-23.529641,-46.438457;-23.648905,-46.703555";08-30-2019 08:07;Google;4;7;78;WALK;;748;7878
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;1;664;WALK;;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;2;1110;BUS;6960-10;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;3;141;WALK;;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;4;900;RAIL;CPTM L09;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;5;4;WALK;;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;6;2071;BUS;280BI1;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;1;7;77;WALK;;2383;4723
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;1;743;WALK;;2383;4792
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;2;1092;BUS;6027-10;2383;4792
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;3;141;WALK;;2383;4792
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;4;900;RAIL;CPTM L09;2383;4792
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;5;4;WALK;;2383;4792
SO;4;"-23.695285,-46.708019;-23.559256,-46.729138";08-30-2019 08:07;Google;2;6;2071;BUS;280BI1;2383;4792
